,DoByDidandDo,NobyTten,NobyNotando,ThebyToandThe,UponbyOnandUpon
TwoGentlemenofVeronaACTI,0.6363636363636364,0.022284122562674095,0.2222222222222222,0.5337423312883436,0.125
TwoGentlemenofVeronaACTII,0.6521739130434783,0.03130434782608696,0.2727272727272727,0.4489795918367347,0.2692307692307692
TwoGentlemenofVeronaACTIII,0.9166666666666666,0.03800475059382423,0.2962962962962963,0.47530864197530864,0.4583333333333333
TwoGentlemenofVeronaACTIV,0.71875,0.012195121951219513,0.1388888888888889,0.47368421052631576,0.5294117647058824
TwoGentlemenofVeronaACTV,0.6666666666666666,0.02262443438914027,0.22727272727272727,0.5052631578947369,0.5
VenusandAdonis,0.4186046511627907,0.0297029702970297,0.3,0.6372180451127819,0.273972602739726
WintersTaleACTI,0.6190476190476191,0.032467532467532464,0.2777777777777778,0.5070422535211268,0.2857142857142857
WintersTaleACTII,0.8,0.036734693877551024,0.2647058823529412,0.5701357466063348,0.20833333333333334
WintersTaleACTIII,0.6190476190476191,0.029545454545454545,0.3170731707317073,0.6291666666666667,0.5555555555555556
WintersTaleACTIV,0.9393939393939394,0.03225806451612903,0.25757575757575757,0.5868725868725869,0.42857142857142855
WintersTaleACTV,0.5238095238095238,0.035058430717863104,0.27631578947368424,0.6117216117216118,0.6666666666666666
