date,PRC,RET,RETX
19490720,37.375,0,0
19490721,36.75,-0.016722,-0.016722
19490722,36.875,0.003401,0.003401
19490725,37.125,0.00678,0.00678
19490726,37.5,0.010101,0.010101
19490727,37.25,-0.006667,-0.006667
19490728,37.125,-0.003356,-0.003356
19490729,37.125,0,0
19490801,37.25,0.003367,0.003367
19490802,37.5,0.006711,0.006711
19490803,37.625,0.003333,0.003333
19490804,37.125,-0.013289,-0.013289
19490805,37.875,0.020202,0.020202
19490808,38.25,0.009901,0.009901
19490809,38.125,-0.003268,-0.003268
19490810,38.25,0.003279,0.003279
19490811,37.625,-0.01634,-0.01634
19490812,37.375,-0.006645,-0.006645
19490815,36.875,-0.013378,-0.013378
19490816,37.25,0.010169,0.010169
19490817,38,0.020134,0.020134
19490818,37.875,-0.003289,-0.003289
19490819,37.5,-0.009901,-0.009901
19490822,37.5,0,0
19490823,37.125,-0.01,-0.01
19490824,37.125,0,0
19490825,37.375,0.006734,0.006734
19490826,37.25,-0.003344,-0.003344
19490829,37,-0.006711,-0.006711
19490830,37.25,0.006757,0.006757
19490831,37.25,0,0
19490901,37,-0.006711,-0.006711
19490902,36.75,-0.006757,-0.006757
19490906,37.25,0.013605,0.013605
19490907,37.25,0,0
19490908,36.875,-0.010067,-0.010067
19490909,37,0.00339,0.00339
19490912,37.125,0.003378,0.003378
19490913,37.75,0.016835,0.016835
19490914,38,0.006623,0.006623
19490915,37.625,-0.009868,-0.009868
19490916,38,0.009967,0.009967
19490919,37.875,-0.003289,-0.003289
19490920,37.25,-0.016502,-0.016502
19490921,37.25,0.013423,0
19490922,37.625,0.010067,0.010067
19490923,37.625,0,0
19490926,37.25,-0.009967,-0.009967
19490927,37.125,-0.003356,-0.003356
19490928,37.25,0.003367,0.003367
19490929,37.25,0,0
19490930,37.125,-0.003356,-0.003356
19491001,37,-0.003367,-0.003367
19491003,37.125,0.003378,0.003378
19491004,37.5,0.010101,0.010101
19491005,37.625,0.003333,0.003333
19491006,37.375,-0.006645,-0.006645
19491007,37.5,0.003344,0.003344
19491008,37.5,0,0
19491010,37.375,-0.003333,-0.003333
19491011,37.75,0.010033,0.010033
19491013,38,0.006623,0.006623
19491014,37.5,-0.013158,-0.013158
19491015,37.5,0,0
19491017,37.25,-0.006667,-0.006667
19491018,37.5,0.006711,0.006711
19491019,37.625,0.003333,0.003333
19491020,37.5,-0.003322,-0.003322
19491021,37.625,0.003333,0.003333
19491022,37.25,-0.009967,-0.009967
19491024,37.25,0,0
19491025,37.5,0.006711,0.006711
19491026,37.75,0.006667,0.006667
19491027,38,0.006623,0.006623
19491028,38.125,0.003289,0.003289
19491029,38.125,0,0
19491031,37.375,-0.019672,-0.019672
19491101,37.75,0.010033,0.010033
19491102,38,0.006623,0.006623
19491103,38.25,0.006579,0.006579
19491104,38.5,0.006536,0.006536
19491105,38.75,0.006494,0.006494
19491107,38.625,-0.003226,-0.003226
19491109,38.625,0,0
19491110,38.5,-0.003236,-0.003236
19491112,38.5,0,0
19491114,38.25,-0.006494,-0.006494
19491115,37.75,-0.013072,-0.013072
19491116,38.5,0.019868,0.019868
19491117,39,0.012987,0.012987
19491118,40.125,0.028846,0.028846
19491119,40.125,0,0
19491121,39.875,-0.006231,-0.006231
19491122,40.125,0.00627,0.00627
19491123,40.375,0.006231,0.006231
19491125,40.125,-0.006192,-0.006192
19491126,40.375,0.006231,0.006231
19491128,39.625,-0.018576,-0.018576
19491129,40,0.009464,0.009464
19491130,40,0,0
19491201,40.375,0.009375,0.009375
19491202,40.5,0.003096,0.003096
19491203,40.875,0.009259,0.009259
19491205,40.625,-0.006116,-0.006116
19491206,40.875,0.006154,0.006154
19491207,41,0.003058,0.003058
19491208,41.375,0.009146,0.009146
19491209,41.125,-0.006042,-0.006042
19491210,41.5,0.009119,0.009119
19491212,42,0.012048,0.012048
19491213,42.25,0.005952,0.005952
19491214,41.5,0.005917,-0.017751
19491215,41,-0.012048,-0.012048
19491216,41.25,0.006098,0.006098
19491217,41,-0.006061,-0.006061
19491219,41.375,0.009146,0.009146
19491220,41.25,-0.003021,-0.003021
19491221,41.5,0.006061,0.006061
19491222,41.375,-0.003012,-0.003012
19491223,41.25,-0.003021,-0.003021
19491227,41,-0.006061,-0.006061
19491228,41.5,0.012195,0.012195
19491229,41.5,0,0
19491230,42.375,0.021084,0.021084
19491231,42.125,-0.0059,-0.0059
19500103,42.375,0.005935,0.005935
19500104,42.75,0.00885,0.00885
19500105,43,0.005848,0.005848
19500106,42.75,-0.005814,-0.005814
19500107,43,0.005848,0.005848
19500109,43.25,0.005814,0.005814
19500110,43.375,0.00289,0.00289
19500111,43.375,0,0
19500112,42.5,-0.020173,-0.020173
19500113,42,-0.011765,-0.011765
19500114,41.5,-0.011905,-0.011905
19500116,41.625,0.003012,0.003012
19500117,42.25,0.015015,0.015015
19500118,42.125,-0.002959,-0.002959
19500119,42.375,0.005935,0.005935
19500120,42.5,0.00295,0.00295
19500121,42.375,-0.002941,-0.002941
19500123,42.5,0.00295,0.00295
19500124,42.375,-0.002941,-0.002941
19500125,42.125,-0.0059,-0.0059
19500126,42.25,0.002967,0.002967
19500127,42.5,0.005917,0.005917
19500128,43.25,0.017647,0.017647
19500130,43.625,0.008671,0.008671
19500131,44.125,0.011461,0.011461
19500201,44.25,0.002833,0.002833
19500202,44.875,0.014124,0.014124
19500203,44.75,-0.002786,-0.002786
19500204,45,0.005587,0.005587
19500206,44.625,-0.008333,-0.008333
19500207,44.375,-0.005602,-0.005602
19500208,44.625,0.005634,0.005634
19500209,44.875,0.005602,0.005602
19500210,45,0.002786,0.002786
19500211,44.625,-0.008333,-0.008333
19500214,44.875,0.005602,0.005602
19500215,44.75,-0.002786,-0.002786
19500216,45.125,0.00838,0.00838
19500217,45.875,0.01662,0.01662
19500218,46,0.002725,0.002725
19500220,46.625,0.013587,0.013587
19500221,46.5,-0.002681,-0.002681
19500223,46.875,0.008065,0.008065
19500224,46.25,-0.013333,-0.013333
19500225,46.375,0.002703,0.002703
19500227,46.625,0.005391,0.005391
19500228,46.25,-0.008043,-0.008043
19500301,46.125,-0.002703,-0.002703
19500302,46.375,0.00542,0.00542
19500303,46.625,0.005391,0.005391
19500304,46.75,0.002681,0.002681
19500306,46.5,-0.005348,-0.005348
19500307,46.375,-0.002688,-0.002688
19500308,46.25,-0.002695,-0.002695
19500309,45.25,-0.021622,-0.021622
19500310,45.625,0.008287,0.008287
19500311,46,0.008219,0.008219
19500313,45.75,-0.005435,-0.005435
19500314,46.375,0.013661,0.013661
19500315,46.625,0.018329,0.005391
19500316,46.625,0,0
19500317,46.75,0.002681,0.002681
19500318,46.5,-0.005348,-0.005348
19500320,46.875,0.008065,0.008065
19500321,46.875,0,0
19500322,47.125,0.005333,0.005333
19500323,46.875,-0.005305,-0.005305
19500324,47.125,0.005333,0.005333
19500325,47.125,0,0
19500327,46.5,-0.013263,-0.013263
19500328,46.875,0.008065,0.008065
19500329,46.5,-0.008,-0.008
19500330,46.25,-0.005376,-0.005376
19500331,46.25,0,0
19500401,46.5,0.005405,0.005405
19500403,46.75,0.005376,0.005376
19500404,46.5,-0.005348,-0.005348
19500405,46.5,0,0
19500406,47,0.010753,0.010753
19500408,46.75,-0.005319,-0.005319
19500410,46.75,0,0
19500411,46.5,-0.005348,-0.005348
19500412,46.875,0.008065,0.008065
19500413,47,0.002667,0.002667
19500414,46.875,-0.00266,-0.00266
19500415,46.375,-0.010667,-0.010667
19500417,46.5,0.002695,0.002695
19500418,47.75,0.026882,0.026882
19500419,48.375,0.013089,0.013089
19500420,48,-0.007752,-0.007752
19500421,48,0,0
19500422,48.25,0.005208,0.005208
19500424,47.375,-0.018135,-0.018135
19500425,47.75,0.007916,0.007916
19500426,47.375,-0.007853,-0.007853
19500427,48,0.013193,0.013193
19500428,48.25,0.005208,0.005208
19500429,48.375,0.002591,0.002591
19500501,48.5,0.002584,0.002584
19500502,48,-0.010309,-0.010309
19500503,48.75,0.015625,0.015625
19500504,48.625,-0.002564,-0.002564
19500505,49.375,0.015424,0.015424
19500506,49.5,0.002532,0.002532
19500508,49.625,0.002525,0.002525
19500509,49.75,0.002519,0.002519
19500510,49.875,0.002513,0.002513
19500511,49.625,-0.005013,-0.005013
19500512,49.625,0,0
19500513,49.75,0.002519,0.002519
19500515,49.5,-0.005025,-0.005025
19500516,49.625,0.002525,0.002525
19500517,50.25,0.012594,0.012594
19500518,50,-0.004975,-0.004975
19500519,50,0,0
19500520,50.25,0.005,0.005
19500522,49.625,-0.012438,-0.012438
19500523,49.75,0.002519,0.002519
19500524,49.75,0,0
19500525,49.125,-0.012563,-0.012563
19500526,49.5,0.007634,0.007634
19500527,49.25,-0.005051,-0.005051
19500529,49.25,0,0
19500531,49.25,0,0
19500601,49.25,0,0
19500602,49.25,0,0
19500605,48.75,-0.010152,-0.010152
19500606,48.5,-0.005128,-0.005128
19500607,48.875,0.007732,0.007732
19500608,50,0.023018,0.023018
19500609,50.25,0.005,0.005
19500612,50.5,0.004975,0.004975
19500613,49.625,-0.017327,-0.017327
19500614,48.25,-0.015617,-0.027708
19500615,48.375,0.002591,0.002591
19500616,48.5,0.002584,0.002584
19500619,48.625,0.002577,0.002577
19500620,48.5,-0.002571,-0.002571
19500621,49,0.010309,0.010309
19500622,49.5,0.010204,0.010204
19500623,49.125,-0.007576,-0.007576
19500626,46.125,-0.061069,-0.061069
19500627,46.625,0.01084,0.01084
19500628,46.5,-0.002681,-0.002681
19500629,44.25,-0.048387,-0.048387
19500630,45.375,0.025424,0.025424
19500703,44.25,-0.024793,-0.024793
19500705,45,0.016949,0.016949
19500706,45.75,0.016667,0.016667
19500707,44.75,-0.021858,-0.021858
19500710,44.875,0.002793,0.002793
19500711,44.375,-0.011142,-0.011142
19500712,43.375,-0.022535,-0.022535
19500713,41.875,-0.034582,-0.034582
19500714,42.625,0.01791,0.01791
19500717,42.5,-0.002933,-0.002933
19500718,44.125,0.038235,0.038235
19500719,44.75,0.014164,0.014164
19500720,45.25,0.011173,0.011173
19500721,45.875,0.013812,0.013812
19500724,45.75,-0.002725,-0.002725
19500725,45,-0.016393,-0.016393
19500726,45.125,0.002778,0.002778
19500727,45.625,0.01108,0.01108
19500728,46.25,0.013699,0.013699
19500731,46,-0.005405,-0.005405
19500801,46.25,0.005435,0.005435
19500802,46.375,0.002703,0.002703
19500803,46,-0.008086,-0.008086
19500804,46.75,0.016304,0.016304
19500807,47,0.005348,0.005348
19500808,47,0,0
19500809,47.375,0.007979,0.007979
19500810,47.5,0.002639,0.002639
19500811,47.25,-0.005263,-0.005263
